Delta,Theta,Alpha,Beta,Gamma
-0.0017018582850795794,0.0009448906934062481,0.00012877993235350612,-0.016116787417447397,-0.006750509052395935
-0.0017275252624848474,0.0010753336023752052,1.3407908554882308e-05,-0.015712118676865665,-0.006209624016769825
-0.0017491664846529741,0.001201067135238679,-0.00011634533311579439,-0.013525246762503529,-0.004483778568765137
-0.0017669750468858924,0.00131976700360233,-0.00025902809852382155,-0.009713873958418063,-0.002454229788285093
-0.0017811291917320792,0.0014292214751516054,-0.00041252746477516295,-0.00460435473022445,-0.0008792992537613093
-0.0017917739118533918,0.0015273917919441755,-0.0005740582884706339,0.001339432879338352,-2.814955583095356e-05
-0.0017990101052124503,0.0016124561643138119,-0.0007401920430964799,0.007559627909732496,0.00030738229107054395
-0.0018028924362208701,0.0016828350511691591,-0.0009069270939899355,0.013456559836449118,0.0005356293620731504
-0.0018034338137743714,0.0017372012963306049,-0.0010697947317990526,0.018446413542183973,0.0009831122013680075
-0.0018006127188941472,0.001774481731998461,-0.0012239910515589023,0.02202037905492071,0.0017709331812603823
-0.001794381032311812,0.001793854484783963,-0.0013645263325270636,0.023798858798552362,0.0028211446864645643
-0.0017846732484646933,0.0017947407245114274,-0.0014863885634799402,0.023572460669213535,0.003885348388187296
-0.0017714199278217073,0.001776786364841353,-0.0015847205731053607,0.02132268839496898,0.0045707569795537945
-0.001754566855190097,0.001739831799956561,-0.0016550072053396906,0.017219797032948715,0.004444670809327262
-0.001734097575552474,0.0016838744125214395,-0.0016932619737113903,0.011600809546999751,0.003266612782597842
-0.0017100539772136394,0.0016090336983719032,-0.0016961975276018769,0.004933919942119852,0.0012349001951783886
-0.001682549993999819,0.0015155279383105528,-0.0016613657450613498,-0.0022249507128830497,-0.000979261153877868
-0.001651776978083301,0.0014036650764042552,-0.001587260593629579,-0.009280232885295952,-0.002537091133474053
-0.001618002936375469,0.001273843978936574,-0.001473384637566038,-0.015647833864249554,-0.002930607585641298
-0.001581568791840115,0.0011265604697813128,-0.001320282997861444,-0.020806729000223456,-0.0023182548107393694
-0.0015428828667194872,0.000962415860265051,-0.001129546198396175,-0.02434591147218659,-0.0014142688456598668
-0.0015024122400994447,0.0007821299854333387,-0.0009037799004836601,-0.026000234592875558,-0.0009801610638384716
-0.0014606691287002908,0.0005865614906239387,-0.0006465397233248517,-0.025670233470097795,-0.001290444110442632
-0.001418192424186797,0.00037673457049809634,-0.00036223388404131715,-0.02342469229394684,-0.001976947889087619
-0.0013755270001495992,0.00015386705532665623,-5.600159010621173e-05,-0.019488049610301456,-0.002356730173738062
-0.0013332039931877174,-8.060620669144974e-05,0.00026642333979505777,-0.014215862255859855,-0.0019662386231139167
-0.0012917235014450353,-0.00032501756084325957,0.0005988570532498345,-0.00806084238546474,-0.0008800931300499955
-0.0012515388543283884,-0.0005774571859033315,0.0009348158712643672,-0.0015313964526332735,0.00040236303936806006
-0.0012130410555559969,-0.0008357679756521804,0.0012676705690351712,0.004854414684314167,0.0013568931366470763
-0.001176543690644325,-0.0010975453048798918,0.0015908003342066947,0.010614540394550148,0.0017688718982097845
-0.001142270811437289,-0.0013601459972864102,0.0018977384343485128,0.015342182297115434,0.0017592284722661247
-0.0011103508218606596,-0.0016207114535350712,0.0021823013395094112,0.018733886398234628,0.0015546155097810098
-0.0010808175399887692,-0.0018762064414513764,0.002438697117756271,0.02060497767040235,0.001260643488313583
-0.0010536168910500947,-0.0021234701490499396,0.002661614537279417,0.020893871787723103,0.0008435037545686704
-0.0010286162572510607,-0.002359273529696567,0.0028462974760192663,0.019657880141258684,0.00029256224096631755
-0.001005614222029078,-0.0025803781716525957,0.002988608401019149,0.01706224926015392,-0.0002407911864058356
-0.0009843502214045366,-0.0027835949921614883,0.0030850817916392337,0.013362911166831557,-0.0004941046716703336
-0.0009645146810641275,-0.0029658429002299065,0.003132966658077088,0.008883290154917236,-0.00030121747366061046
-0.0009457598502133732,-0.0031242069514059788,0.0031302580652956134,0.003986625306328952,0.0002365819618425153
-0.0009277105923476808,-0.0032559939232254405,0.0030757192956819266,-0.0009535407723156198,0.0007792559867158271
-0.0009099741808908127,-0.0033587829547575805,0.002968896625092656,-0.00558188650495951,0.0009619557827708042
-0.0008921489757191109,-0.0034304704120925182,0.002810127145044232,-0.0095868004477802,0.0006249197934587473
